"","Reporter","Year","FAOGroup","FMI_Imp1"
"149","Australia",2016,"Marine fish nei",0.487870526373277
"150","Australia",2016,"Molluscs excl. cephalopods",0.514682435334693
"151","Australia",2016,"Pelagic fish",0.477148411554305
"152","Australia",2017,"Aquatic animals nei",0.444862313397579
"153","Australia",2017,"Cephalopods",0.472980462350078
"154","Australia",2017,"Crustaceans",0.424299641219104
"155","Australia",2017,"Demersal fish",0.69806505514564
"156","Australia",2017,"Freshwater & diadromous fish",0.523075754631945
"157","Australia",2017,"Marine fish nei",0.492087151100499
"158","Australia",2017,"Molluscs excl. cephalopods",0.514667570414602
"159","Australia",2017,"Pelagic fish",0.476329848611746
"160","Austria",2012,"Aquatic animals nei",0.561906734300104
"161","Austria",2012,"Cephalopods",0.588454586277569
"162","Austria",2012,"Crustaceans",0.560670029763957
"163","Austria",2012,"Demersal fish",0.65671438461754
"164","Austria",2012,"Freshwater & diadromous fish",0.541893507204193
"165","Austria",2012,"Marine fish nei",0.524376131586589
"166","Austria",2012,"Molluscs excl. cephalopods",0.565484892230833
"167","Austria",2012,"Pelagic fish",0.618873407085368
"168","Austria",2013,"Aquatic animals nei",0.561633007840579
"169","Austria",2013,"Cephalopods",0.591043531544877
"170","Austria",2013,"Crustaceans",0.566503611687848
"171","Austria",2013,"Demersal fish",0.654604554142681
"172","Austria",2013,"Freshwater & diadromous fish",0.532126270037856
"173","Austria",2013,"Marine fish nei",0.52842243426762
"174","Austria",2013,"Molluscs excl. cephalopods",0.563261994169203
"175","Austria",2013,"Pelagic fish",0.610009261093527
"176","Austria",2014,"Aquatic animals nei",0.55246919141611
"177","Austria",2014,"Cephalopods",0.60123686753058
"178","Austria",2014,"Crustaceans",0.566662944571426
"179","Austria",2014,"Demersal fish",0.657014056536369
"180","Austria",2014,"Freshwater & diadromous fish",0.542661784171665
"181","Austria",2014,"Marine fish nei",0.534667202405126
"182","Austria",2014,"Molluscs excl. cephalopods",0.563735044441657
"183","Austria",2014,"Pelagic fish",0.617730652455971
"184","Austria",2015,"Aquatic animals nei",0.541854447101836
"185","Austria",2015,"Cephalopods",0.601368525097582
"186","Austria",2015,"Crustaceans",0.564698709220988
"187","Austria",2015,"Demersal fish",0.65742115648309
"188","Austria",2015,"Freshwater & diadromous fish",0.549181247585809
"189","Austria",2015,"Marine fish nei",0.537019000431466
"190","Austria",2015,"Molluscs excl. cephalopods",0.573992540353403
"191","Austria",2015,"Pelagic fish",0.626306678739279
"192","Austria",2016,"Aquatic animals nei",0.574702304616653
"193","Austria",2016,"Cephalopods",0.61007733947509
"194","Austria",2016,"Crustaceans",0.564610698895731
"195","Austria",2016,"Demersal fish",0.657930621807358
"196","Austria",2016,"Freshwater & diadromous fish",0.544437602831467
"197","Austria",2016,"Marine fish nei",0.538941155619175
"198","Austria",2016,"Molluscs excl. cephalopods",0.57385174283447
"199","Austria",2016,"Pelagic fish",0.627712586345217
"200","Austria",2017,"Aquatic animals nei",0.576067581040432
"201","Austria",2017,"Cephalopods",0.604831196831716
"202","Austria",2017,"Crustaceans",0.562703062221112
"203","Austria",2017,"Demersal fish",0.656133888868669
"204","Austria",2017,"Freshwater & diadromous fish",0.545445180339843
"205","Austria",2017,"Marine fish nei",0.539342487893555
"206","Austria",2017,"Molluscs excl. cephalopods",0.580523913152247
"207","Austria",2017,"Pelagic fish",0.623940459197921
"208","Bahrain",2012,"Aquatic animals nei",0.570096187516598
"209","Bahrain",2012,"Cephalopods",0.469355518190629
"210","Bahrain",2012,"Crustaceans",0.439608944325198
"211","Bahrain",2012,"Demersal fish",0.50982868359727
"212","Bahrain",2012,"Freshwater & diadromous fish",0.428293592558429
"213","Bahrain",2012,"Marine fish nei",0.401568511431131
"214","Bahrain",2012,"Molluscs excl. cephalopods",0.506807597754708
"215","Bahrain",2012,"Pelagic fish",0.490713072951595
"216","Bahrain",2013,"Aquatic animals nei",0.456472152107848
"217","Bahrain",2013,"Cephalopods",0.473201293642943
"218","Bahrain",2013,"Crustaceans",0.439593685985735
"219","Bahrain",2013,"Demersal fish",0.479185247767971
"220","Bahrain",2013,"Freshwater & diadromous fish",0.439474292201309
"221","Bahrain",2013,"Marine fish nei",0.418257163811796
"222","Bahrain",2013,"Molluscs excl. cephalopods",0.433737530821856
"223","Bahrain",2013,"Pelagic fish",0.492073433741745
"224","Bahrain",2014,"Aquatic animals nei",0.447239289032243
"225","Bahrain",2014,"Cephalopods",0.467124722909483
"226","Bahrain",2014,"Crustaceans",0.438969547835383
"227","Bahrain",2014,"Demersal fish",0.446421149409084
"228","Bahrain",2014,"Freshwater & diadromous fish",0.453205975097811
"229","Bahrain",2014,"Marine fish nei",0.435494371440273
"230","Bahrain",2014,"Molluscs excl. cephalopods",0.452956484822648
"231","Bahrain",2014,"Pelagic fish",0.496036215610848
"232","Bahrain",2015,"Aquatic animals nei",0.503129340327176
"233","Bahrain",2015,"Cephalopods",0.471293677629276
"234","Bahrain",2015,"Crustaceans",0.436283242813898
"235","Bahrain",2015,"Demersal fish",0.440880812437839
"236","Bahrain",2015,"Freshwater & diadromous fish",0.452046086799451
"237","Bahrain",2015,"Marine fish nei",0.432337342909789
"238","Bahrain",2015,"Molluscs excl. cephalopods",0.470463407613735
"239","Bahrain",2015,"Pelagic fish",0.491468402421163
"240","Bahrain",2016,"Aquatic animals nei",0.494392102727314
"241","Bahrain",2016,"Cephalopods",0.47176577947943
"242","Bahrain",2016,"Crustaceans",0.439662697422197
"243","Bahrain",2016,"Demersal fish",0.444634314965559
"244","Bahrain",2016,"Freshwater & diadromous fish",0.445854659354028
"245","Bahrain",2016,"Marine fish nei",0.402910474320889
