HS6,ProductType,ConversionFactor,ConversionDesc,FAOGroup,Derivation,,,,,,
030382,"Fish; frozen, rays and skates (Rajidae), excluding fillets, livers, roes, and other fish meat of heading 0304",1.55,"FAO Direct; average of shark gutted/head on, gutted head/off",Demersal fish,FAO,,,,,,
030383,"Fish; frozen, toothfish (Dissostichus spp.), excluding fillets, livers, roes, and other fish meat of heading 0304",1.412,FAO Assumed; average of all frozen gadidae CFs,Demersal fish,Est,,,,,,
030384,"Fish; frozen, seabass (Dicentrarchus spp.), excluding fillets, livers, roes, and other fish meat of heading 0304",1.455,"FAO Direct; average of sea bass gutted/head on, gutted/headoff",Marine fish nei,FAO,,,,,,
030389,"Fish; frozen, n.e.c. in heading 0303, excluding fillets, livers, roes, and other fish meat of heading 0304",1.285714286,FAO Assumed; average of all frozen fish CFs,Marine fish nei,Est,,,,,,
030390,"Fish; frozen, livers and roes",20,FAO Waterman 2001 ratio for cod,Marine fish nei,Est,,,,,,
030391,"Fish; frozen, livers, roes and milt",20,FAO Waterman 2001 ratio for cod,Marine fish nei,Est,,,,,,
030392,"Fish; frozen, shark fins",15.6,Fin/body ratio from prev. studies,Demersal fish,Other,,,,,,
030399,"Fish; frozen, fish fins (other than shark fins), heads, tails, maws and other edible fish offal",20,FAO Waterman 2001 ratio for cod,Marine fish nei,Est,,,,,,
030400,"Fish; Fillets and Other Meat, fresh or chilled",2.711714286,FAO Assumed; average of all fillet CFs,Marine fish nei,Est,,,,,,
030410,"Fish; fillets and other fish meat, fresh or chilled (whether or not minced)",2.711714286,FAO Assumed; average of all fillet CFs,Marine fish nei,Est,,,,,,
030411,"Fish; swordfish (Xiphias gladius), fillets and other fish meat (whether or not minced), fresh or chilled",1.73,"FAO Assumed; average of raw, skin off tuna CFs",Pelagic fish,Est,,,,,,
030412,"Fish; toothfish (Dissostichus spp.), fillets and other fish meat (whether or not minced), fresh or chilled",3.042631579,"FAO Assumed; average of raw, skin off gadidae CFs",Demersal fish,Est,,,,,,
030419,"Fish; fillets and other fish meat (whether or not minced), fresh or chilled, other than swordfish (Xiphias gladius) and toothfish (Dissostichus spp.)",2.711714286,FAO Assumed; average of all fillet CFs,Demersal fish,Est,,,,,,
030420,"Fish; fillets, frozen",2.711714286,FAO Assumed; average of all fillet CFs,Marine fish nei,Est,,,,,,
030421,"Fish; swordfish (Xiphias gladius), fillets, frozen",1.73,"FAO Assumed; average of raw, skin off tuna CFs",Pelagic fish,Est,,,,,,
030422,"Fish; toothfish (Dissostichus spp.), fillets, frozen",3.042631579,"FAO Assumed; average of raw, skin off gadidae CFs",Demersal fish,Est,,,,,,
030429,"Fish; fillets, frozen, other than swordfish (Xiphias gladius) and toothfish (Dissostichus spp.)",2.711714286,FAO Assumed; average of all fillet CFs,Pelagic fish,Est,,,,,,
030431,"Fish fillets; fresh or chilled, tilapias (Oreochromis spp.)",3.09,FAO Assumed; average of catfish fillet raw CF and skin off CF,Freshwater & diadromous fish,Est,,,,,,
030432,"Fish fillets; fresh or chilled, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",3.09,FAO Direct; average of catfish fillet raw CF and skin off CF,Freshwater & diadromous fish,FAO,,,,,,
030433,"Fish fillets; fresh or chilled, Nile perch (Lates niloticus)",3.09,FAO Assumed; average of catfish fillet raw CF and skin off CF,Freshwater & diadromous fish,Est,,,,,,
030439,"Fish fillets; fresh or chilled, carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), eels (Anguilla spp.), and snakeheads (Channa spp.)",3.09,FAO Assumed; average of catfish fillet raw CF and skin off CF,Freshwater & diadromous fish,Est,,,,,,
030441,"Fish fillets; fresh or chilled, salmon, Pacific (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic (Salmo salar), Danube (Hucho hucho)",2,"FAO Direct; salmon fillets skin off, raw CF",Freshwater & diadromous fish,FAO,,,,,,
030442,"Fish fillets; fresh or chilled, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",2,"FAO Assumed; salmon fillets skin off, raw CFs",Freshwater & diadromous fish,Est,,,,,,
030443,"Fish fillets; fresh or chilled, flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)",2.545,"FAO Direct; average of flatfish fillets raw CF, skin off CF",Demersal fish,FAO,,,,,,
030444,"Fish fillets; fresh or chilled, of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae, and Muraenolepididae",3.042631579,"FAO Assumed; average of raw, skin off gadidae CFs",Demersal fish,Est,,,,,,
030445,"Fish fillets; fresh or chilled, swordfish (Xiphias gladius)",1.73,"FAO Assumed; average of raw, skin off tuna CFs",Pelagic fish,Est,,,,,,
030446,"Fish fillets; fresh or chilled, toothfish (Dissostichus spp.)",3.042631579,"FAO Assumed; average of raw, skin off gadidae CFs",Demersal fish,Est,,,,,,
030447,"Fish fillets; fresh or chilled, dogfish and other sharks",1.73,"FAO Assumed; average of raw, skin off tuna CFs",Demersal fish,Est,,,,,,
030448,"Fish fillets; fresh or chilled, rays and skates (Rajidae)",1.73,"FAO Assumed; average of raw, skin off tuna CFs",Demersal fish,Est,,,,,,
030449,"Fish fillets; fresh or chilled, other than fish of heading 0304.4",2.711714286,FAO Assumed; average of all fillet CFs,Marine fish nei,Est,,,,,,
030451,"Fish meat, excluding fillets, whether or not minced; fresh or chilled, tilapias, catfish, carp, eels, Nile perch, and snakeheads",3.09,FAO Assumed; average of catfish fillet raw CF and skin off CF,Freshwater & diadromous fish,Est,,,,,,
030452,"Fish meat, excluding fillets, whether or not minced; fresh or chilled, salmonidae",2,FAO Direct; salmon fillets skin off CF,Freshwater & diadromous fish,FAO,,,,,,
030453,"Fish meat, excluding fillets, whether or not minced; fresh or chilled, of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae, and Muraenolepididae",3.042631579,"FAO Assumed; average of raw, skin off gadidae CFs",Demersal fish,Est,,,,,,
030454,"Fish meat, excluding fillets, whether or not minced; fresh or chilled, swordfish (Xiphias gladius)",1.73,"FAO Assumed; average of raw, skin off tuna CFs",Pelagic fish,Est,,,,,,
030455,"Fish meat, excluding fillets, whether or not minced; fresh or chilled, toothfish (Dissostichus spp.)",3.042631579,"FAO Assumed; average of raw, skin off gadidae CFs",Demersal fish,Est,,,,,,
030456,"Fish meat; excluding fillets, whether or not minced; fresh or chilled, dogfish and other sharks",1.73,"FAO Assumed; average of raw, skin off tuna CFs",Demersal fish,Est,,,,,,
030457,"Fish meat; excluding fillets, whether or not minced; fresh or chilled, rays and skates (Rajidae)",1.73,"FAO Assumed; average of raw, skin off tuna CFs",Demersal fish,Est,,,,,,
030459,"Fish meat; excluding fillets, whether or not minced; fresh or chilled, of fish n.e.c. in item no. 0304.5",2.711714286,FAO Assumed; average of all fillet CFs,Marine fish nei,Est,,,,,,
030461,"Fish fillets; frozen, tilapias (Oreochromis spp.)",3.09,FAO Assumed; average of catfish fillet raw CF and skin off CF,Freshwater & diadromous fish,Est,,,,,,
030462,"Fish fillets; frozen, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",3.09,FAO Direct; average of catfish fillet raw CF and skin off CF,Freshwater & diadromous fish,FAO,,,,,,
030463,"Fish fillets; frozen, Nile Perch (Lates niloticus)",3.09,FAO Assumed; average of catfish fillet raw CF and skin off CF,Freshwater & diadromous fish,Est,,,,,,
030469,"Fish fillets; frozen, carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), eels (Anguilla spp.), and snakeheads (Channa spp.)",3.09,FAO Assumed; average of catfish fillet raw CF and skin off CF,Freshwater & diadromous fish,Est,,,,,,
030471,"Fish fillets; frozen, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",2.97,FAO Direct; average of cod fillet raw CF and skin off CF options,Demersal fish,FAO,,,,,,
030472,"Fish fillets; frozen, haddock (Melanogrammus aeglefinus)",2.83,FAO Direct; average of haddock fillet faw CF and skin off CF options,Demersal fish,FAO,,,,,,
030473,"Fish fillets; frozen, coalfish (Pollachius virens)",2.335,FAO Assumed; average of saithe fillet raw CF and skin CFs,Demersal fish,Est,,,,,,
030474,"Fish fillets; frozen, hake (Merluccius spp., Urophycis spp.)",2.776666667,FAO Direct; average of hake fillet raw CF and skin off CF options,Demersal fish,FAO,,,,,,
030475,"Fish fillets; frozen, Alaska pollack (Theraga chalcogramma)",3.78,FAO Direct; AK pollack fillet skin off,Demersal fish,FAO,,,,,,
030479,"Fish fillets; frozen, of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae other than cod, haddock, coalfish, hake, and Alaska pollack",3.042631579,"FAO Assumed; average of raw, skin off gadidae CFs",Demersal fish,Est,,,,,,
030481,"Fish fillets; frozen, salmon, Pacific (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), Atlantic (Salmo salar), and Danube (Hucho hucho)",2,FAO Direct; salmon fillets skin off CF,Freshwater & diadromous fish,FAO,,,,,,
030482,"Fish fillets; frozen, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",2,"FAO Assumed; salmon fillets skin off, raw CFs",Freshwater & diadromous fish,Est,,,,,,
030483,"Fish fillets; frozen, flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)",2.545,"FAO Direct; average of flatfish fillets raw CF, skin off CF",Demersal fish,FAO,,,,,,
030484,"Fish fillets; frozen, swordfish (Xiphias gladius)",1.73,"FAO Assumed; average of raw, skin off tuna CFs",Pelagic fish,Est,,,,,,
030485,"Fish fillets; frozen, toothfish (Dissostichus spp.)",3.042631579,"FAO Assumed; average of raw, skin off gadidae CFs",Demersal fish,Est,,,,,,
030486,"Fish fillets; frozen, herrings (Clupea harengus, Clupea pallasii)",1.895,FAO Direct; average of herring fillets raw CF and skin off CF,Pelagic fish,FAO,,,,,,
030487,"Fish fillets; frozen, tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis)",1.73,FAO Direct; average of tuna fillets raw CF and skin off CF,Pelagic fish,FAO,,,,,,
030488,"Fish fillets; frozen, dogfish, other sharks, rays and skates (Rajidae)",1.73,"FAO Assumed; average of raw, skin off tuna CFs",Demersal fish,Est,,,,,,
030489,"Fish fillets; frozen, of fish n.e.c. in heading 0304.8",2.711714286,FAO Assumed; average of all fillet CFs,Marine fish nei,Est,,,,,,
030490,"Fish; fish meat n.e.s. in heading no. 0304 (whether or not minced), fresh, chilled or frozen",2.711714286,FAO Assumed; average of all fillet CFs,Marine fish nei,Est,,,,,,
030491,"Fish; swordfish (Xiphias gladius), frozen, other than fillets",1.73,"FAO Assumed; average of raw, skin off tuna CFs",Pelagic fish,Est,,,,,,
030492,"Fish; toothfish (Dissostichus spp.), frozen, other than fillets",3.042631579,"FAO Assumed; average of raw, skin off gadidae CFs",Demersal fish,Est,,,,,,
030493,"Fish meat, excluding fillets, whether or not minced; frozen, tilapias, catfish, carp, eels, Nile perch, and snakeheads",3.09,FAO Assumed; average of catfish fillet raw CF and skin off CF,Freshwater & diadromous fish,Est,,,,,,
030494,"Fish meat, excluding fillets, whether or not minced; frozen, Alaska Pollack (Theraga chalcogramma)",3.78,FAO Assumed; average of AK pollack fillet CFs,Demersal fish,Est,,,,,,
030495,"Fish meat, excluding fillets, whether or not minced; frozen, of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than Alaska Pollack (Theraga chalcogramma)",3.042631579,"FAO Assumed; average of raw, skin off gadidae CFs",Demersal fish,Est,,,,,,
030496,"Fish meat, excluding fillets, whether or not minced; frozen, dogfish and other sharks",1.73,"FAO Assumed; average of raw, skin off tuna CFs",Demersal fish,Est,,,,,,
030497,"Fish meat, excluding fillets, whether or not minced; frozen, rays and skates (Rajidae)",1.73,"FAO Assumed; average of raw, skin off tuna CFs",Demersal fish,Est,,,,,,
030499,"Fish; fish meat (whether or not minced) other than fillets, frozen, excluding swordfish (Xiphias gladius) and toothfish (Dissostichus spp.)",2.711714286,FAO Assumed; average of all fillet CFs,Marine fish nei,Est,,,,,,
030500,"Fish Dried, Salted, or in Brine",2.294210526,FAO Assumed; average of dried/salted/brined deduced CFs,Marine fish nei,Est,,,,,,
030510,Fish meal; fit for human consumption,1,Base assumption due to lack of information,Marine fish nei,Other,,,,,,
030520,"Fish; livers and roes, dried, smoked (whether or not cooked before or during the smoking process), salted or in brine",20,FAO Waterman 2001 ratio for cod,Marine fish nei,Est,,,,,,
030530,"Fish; fillets, dried, salted or in brine, but not smoked",2.294210526,FAO Assumed; average of dried/salted/brined deduced CFs,Marine fish nei,Est,,,,,,
030531,"Fish fillets; dried, salted or in brine, but not smoked, tilapias, catfish, carp, eels, Nile perch, and snakeheads",2.48,"FAO Direct; average of deduced CFs of dry gutted tilapia, freshwater fillet, salted/wet/brined freshwater fish",Freshwater & diadromous fish,FAO,,,,,,
030532,"Fish fillets; dried, salted or in brine, but not smoked, of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae",2.722,FAO Assumed; average of dried/salted/brined gadidae and other demersal deduced CFs,Demersal fish,Est,,,,,,
030539,"Fish fillets; dried, salted or in brine, but not smoked, n.e.c. in item no. 0305.3",2.294210526,FAO Assumed; average of dried/salted/brined deduced CFs,Marine fish nei,Est,,,,,,
030541,"Fish; Pacific salmon (oncorhynchus spp.), Atlantic salmon (salmo salar) and Danube salmon (hucho hucho), including fillets, smoked (whether or not cooked before or during the smoking process)",1.92,FAO Direct; deduced CF for smoked salmon,Freshwater & diadromous fish,FAO,,,,,,
030542,"Fish; herrings (clupea harengus, clupea pallasii), including fillets; smoked (whether or not cooked before or during the smoking process)",1.49,FAO Direct; deduced CF for smoked herring,Pelagic fish,FAO,,,,,,
030543,"Fish; smoked, whether or not cooked before or during smoking, trout (Salmo trutta, Oncorhynchus mykiss/clarki/aguabonita/gilae/apache/chrysogaster), includes fillets, but excludes edible fish offal",1.92,"FAO Assumed, deduced CF for smoked salmon",Freshwater & diadromous fish,Est,,,,,,
030544,"Fish; smoked, whether or not cooked before or during smoking, tilapias, catfish, carp, eels, Nile perch, and snakeheads, includes fillets, but excludes edible fish offal",1.43,FAO Assumed; deduced CF for smoked eel,Freshwater & diadromous fish,Est,,,,,,
030549,"Fish; smoked (whether or not cooked before or during the smoking process), n.e.s. in item no. 0305.4 (including fillets)",1.683333333,FAO Assumed; average of all smoked fish deduced CFs,Marine fish nei,Est,,,,,,
030551,"Fish; cod (gadus morhua, gadus ogac, gadus macrocephalus), dried (whether or not salted but not smoked)",2.955,FAO Direct; average of deduced CFs of dried gutted cod and filleted cod,Demersal fish,FAO,,,,,,
030552,"Fish; dried, whether or not salted but not smoked, tilapias, catfish, carp, eels, Nile perch, and snakeheads",2.97,FAO Direct; average of deduced CFS of dried gutted tilapia and other freshwater fish fillets,Freshwater & diadromous fish,FAO,,,,,,
030553,"Fish; dried, whether or not salted but not smoked, fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than cod",3.336666667,FAO Assumed; average of deduced CFs of dried gadidae,Demersal fish,Est,,,,,,
030554,"Dried herrings, anchovies, sardines, sardinella, brisling or sprats, mackerel (incl Indian, jack, or horse), seerfishes, jacks, crevalles, cobia, silver pomfrets, Pacific saury, scads, capelin, swordfish, Kawakawa, bonitos, marlins, sailfishes, spearfish",3.036666667,"FAO Assumed; average of deduced CFs of dried pilchard, tuna, shark",Pelagic fish,Est,,,,,,
030559,"Fish; dried (whether or not salted but not smoked), n.e.s. in item no. 0305.51",3.216666667,FAO Assumed; average of all deduced CFs of dried fish,Marine fish nei,Est,,,,,,
030561,"Fish; herrings (clupea harengas, clupea pallasii), salted or in brine but not dried or smoked",1.39,FAO Direct; recommended CF for salted/wet/brined herring,Pelagic fish,FAO,,,,,,
030562,"Fish; cod (gadus morhua, gadus ogac, gadus macrocephalus), salted or in brine but not dried or smoked",2,FAO Direct; recommended CF for salted/wet/brined cod,Demersal fish,FAO,,,,,,
030563,"Fish; anchovies (engraulis spp.), salted or in brine but not dried or smoked",1.33,FAO Direct; recommended CF for salted/wet/brined anchovies,Pelagic fish,FAO,,,,,,
030564,"Fish; salted or in brine, not dried or smoked, other than edible fish offal, tilapias, catfish, carp, eels, Nile perch, and snakeheads",1.5,FAO Direct; recommend CF for salted/wet/brined freshwater fish,Freshwater & diadromous fish,FAO,,,,,,
030569,"Fish; salted or in brine, but not dried or smoked, n.e.s. in item no. 0305.6",1.464,FAO Assumed; average of all recommended CFs for salted/wet/brined fish,Marine fish nei,Est,,,,,,
030571,"Fish; edible offal, shark fins",15.6,Fin/body ratio from prev. studies,Demersal fish,Other,,,,,,
030572,"Fish; edible offal, fish heads, tails and maws",20,FAO Waterman 2001 ratio for cod,Marine fish nei,Est,,,,,,
030579,"Fish; edible offal, other than shark fins, fish heads, tails and maws",20,FAO Waterman 2001 ratio for cod,Marine fish nei,Est,,,,,,
030600,Crustaceans,3.286666667,FAO Assumed; average of all crustacean indicative CFs,Crustaceans,Est,,,,,,
030611,"Crustaceans; rock lobsters and other sea crawfish (palinurus spp., panulirus spp., jasus spp.), frozen (whether in shell or not, whether or not cooked by steaming or by boiling in water)",3.245,"FAO Direct; average of lobsters tails (shell on), meat indicative CFs",Crustaceans,FAO,,,,,,
030612,"Crustaceans; lobsters (homarus spp.), frozen (whether in shell or not, whether or not cooked by steaming or by boiling in water)",3.245,"FAO Direct; average of lobsters tails (shell on), meat indicative CFs",Crustaceans,FAO,,,,,,
030613,"Crustaceans; shrimps and prawns, frozen (whether in shell or not, whether or not cooked by steaming or by boiling in water)",2.41,"FAO Direct; average of shrimps/prawns tails (shell on), tails (peeled), meat indicative CFs",Crustaceans,FAO,,,,,,
030614,"Crustaceans; crabs, frozen (whether in shell or not, whether or not cooked by steaming or by boiling in water)",6,FAO Direct; crab meat indicative CF,Crustaceans,FAO,,,,,,
030615,"Crustaceans; frozen, Norway lobsters (Nephrops norvegicus), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",3.245,"FAO Direct; average of lobsters tails (shell on), meat indicative CFs",Crustaceans,FAO,,,,,,
030616,"Crustaceans; frozen, cold-water shrimps and prawns (Pandalus spp., Crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",2.41,"FAO Direct; average of shrimps/prawns tails (shell on), tails (peeled), meat indicative CFs",Crustaceans,FAO,,,,,,
030617,"Crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",2.41,"FAO Direct; average of shrimps/prawns tails (shell on), tails (peeled), meat indicative CFs",Crustaceans,FAO,,,,,,
030619,"Crustaceans; frozen, n.e.s. in item no. 0306.1 (whether in shell or not, whether or not cooked by steaming or by boiling in water)",3.286666667,FAO Assumed; average of all crustacean indicative CFs,Crustaceans,Est,,,,,,
030620,Crustaceans,3.286666667,FAO Assumed; average of all crustacean indicative CFs,Crustaceans,Est,,,,,,
030621,"Crustaceans; rock lobster and other sea crawfish (palinurus spp., panulirus spp., jasus spp.), not frozen, (whether in shell or not, whether or not cooked by steaming or by boiling in water)",3.245,"FAO Direct; average of lobsters tails (shell on), meat indicative CFs",Crustaceans,FAO,,,,,,
030622,"Crustaceans; lobsters (homarus spp.), not frozen, (whether in shell or not, whether or not cooked by steaming or by boiling in water)",3.245,"FAO Direct; average of lobsters tails (shell on), meat indicative CFs",Crustaceans,FAO,,,,,,
030623,"Crustaceans; shrimps and prawns, not frozen, (whether in shell or not, whether or not cooked by steaming or by boiling in water)",2.41,"FAO Direct; average of shrimps/prawns tails (shell on), tails (peeled), meat indicative CFs",Crustaceans,FAO,,,,,,
030624,"Crustaceans; crabs, not frozen, (whether in shell or not, whether or not cooked by steaming or by boiling in water)",6,FAO Direct; crab meat indicative CF,Crustaceans,FAO,,,,,,
030625,"Crustaceans; not frozen, Norway lobsters (Nephrops norvegicus), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flours, meals, and pellets",3.245,"FAO Direct; average of lobsters tails (shell on), meat indicative CFs",Crustaceans,FAO,,,,,,
030626,"Crustaceans; not frozen, cold-water shrimps and prawns (Pandalus spp., Crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets",2.41,"FAO Direct; average of shrimps/prawns tails (shell on), tails (peeled), meat indicative CFs",Crustaceans,FAO,,,,,,
030627,"Crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets",2.41,"FAO Direct; average of shrimps/prawns tails (shell on), tails (peeled), meat indicative CFs",Crustaceans,FAO,,,,,,
030629,"Crustaceans; not frozen, n.e.s. in heading no. 0306, (whether in shell or not, whether or not cooked by steaming or by boiling in water)",3.286666667,FAO Assumed; average of all crustacean indicative CFs,Crustaceans,Est,,,,,,
030631,"Crustaceans; live, fresh or chilled, rock lobsters and other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.), in shell or not",3.245,"FAO Direct; average of lobsters tails (shell on), meat indicative CFs",Crustaceans,FAO,,,,,,
030632,"Crustaceans; live, fresh or chilled, lobsters (Homarus spp.), whether in shell or not",3.245,"FAO Direct; average of lobsters tails (shell on), meat indicative CFs",Crustaceans,FAO,,,,,,
030633,"Crustaceans; live, fresh or chilled, crabs, whether in shell or not",6,FAO Direct; crab meat indicative CF,Crustaceans,FAO,,,,,,
030634,"Crustaceans; live, fresh or chilled, Norway lobsters (Nephrops norvegicus), in shell or not",3.245,"FAO Direct; average of lobsters tails (shell on), meat indicative CFs",Crustaceans,FAO,,,,,,
030635,"Crustaceans; live, fresh or chilled, cold-water shrimps and prawns (Pandalus spp., Crangon crangon), in shell or not",2.41,"FAO Direct; average of shrimps/prawns tails (shell on), tails (peeled), meat indicative CFs",Crustaceans,FAO,,,,,,
030636,"Crustaceans; live, fresh or chilled, shrimps and prawns excluding cold-water varieties, in shell or not",2.41,"FAO Direct; average of shrimps/prawns tails (shell on), tails (peeled), meat indicative CFs",Crustaceans,FAO,,,,,,
030639,"Crustaceans; live, fresh or chilled, n.e.c. in item no. 0306.3, in shell or not, including edible flours, meals, and pellets of crustaceans",3.286666667,FAO Assumed; average of all crustacean indicative CFs,Crustaceans,Est,,,,,,
030691,"Crustaceans; rock lobsters and other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.), smoked, cooked or not, whether in shell or not, whether or not cooked before or during smoking",3.245,"FAO Direct; average of lobsters tails (shell on), meat indicative CFs",Crustaceans,FAO,,,,,,
030692,"Crustaceans; lobsters (Homarus spp.), smoked, cooked or not, whether in shell or not, whether or not cooked before or during smoking",3.245,"FAO Direct; average of lobsters tails (shell on), meat indicative CFs",Crustaceans,FAO,,,,,,
030693,"Crustaceans; crabs, smoked, cooked or not, whether in shell or not, whether or not cooked before or during smoking",6,FAO Direct; crab meat indicative CF,Crustaceans,FAO,,,,,,
030694,"Crustaceans; Norway lobsters (Nephrops norvegicus), smoked, cooked or not, whether in shell or not, whether or not cooked before or during smoking",3.245,"FAO Direct; average of lobsters tails (shell on), meat indicative CFs",Crustaceans,FAO,,,,,,
030695,"Crustaceans; shrimps and prawns, smoked, cooked or not, whether in shell or not, whether or not cooked before or during smoking",2.41,"FAO Direct; average of shrimps/prawns tails (shell on), tails (peeled), meat indicative CFs",Crustaceans,FAO,,,,,,
030699,"Crustaceans; smoked, whole, cooked or not, n.e.c. in item no. 0306.9, in shell or not, including edible flours, meals, and pellets of crustaceans",3.286666667,FAO Assumed; average of all crustacean indicative CFs,Crustaceans,Est,,,,,,
030700,Molluscs,4.572631579,FAO Assumed; average of all mollusc indicative CFs,Molluscs excl. cephalopods,Est,,,,,,
030710,"Molluscs; oysters, live, fresh, chilled, frozen, dried, salted or in brine (whether in shell or not)",10,FAO Direct; average of oyster indicative CFs,Molluscs excl. cephalopods,FAO,,,,,,
030711,"Molluscs; oysters, whether in shell or not, live, fresh or chilled",10,FAO Direct; not dried oyster indicative CFs,Molluscs excl. cephalopods,FAO,,,,,,
030712,"Molluscs; oysters, whether in shell or not, frozen",10,FAO Direct; not dried oyster indicative CFs,Molluscs excl. cephalopods,FAO,,,,,,
030719,"Molluscs; oysters, whether in shell or not, frozen, dried, salted or in brine, smoked, cooked or not before or during the smoking process",10,FAO Direct; average of oyster indicative CFs,Molluscs excl. cephalopods,FAO,,,,,,
030721,"Molluscs; scallops (including queen scallops of the genera pecten, chlamys or placopecten), live, fresh or chilled (whether in shell or not)",9.1,FAO Direct; not dried scallop indicative CF,Molluscs excl. cephalopods,FAO,,,,,,
030722,"Molluscs; scallops, whether in shell or not, including queen scallops of the genera Pecten, Chlamys or Placopecten, frozen",9.1,FAO Direct; not dried scallop indicative CF,Molluscs excl. cephalopods,FAO,,,,,,
030729,"Molluscs; scallops (including queen scallops of the genera pecten, chlamys or placopecten), frozen, dried, salted or in brine (whether in shell or not)",9.85,FAO Direct; average of scallop indicative CFs,Molluscs excl. cephalopods,FAO,,,,,,
030731,"Molluscs; mussels (mytilus spp., perna spp.), live, fresh or chilled (whether in shell or not)",6,FAO Direct; mussel indicative CF,Molluscs excl. cephalopods,FAO,,,,,,
030732,"Molluscs; mussels (Mytilus spp., Perna spp.), whether in shell or not, frozen",6,FAO Direct; mussel indicative CF,Molluscs excl. cephalopods,FAO,,,,,,
030739,"Molluscs; mussels (mytilus spp., perna spp.), frozen, dried, salted or in brine (whether in shell or not)",6,FAO Direct; mussel indicative CF,Molluscs excl. cephalopods,FAO,,,,,,
030741,"Molluscs; cuttle fish and squid, live, fresh or chilled (whether in shell or not)",1.7725,FAO Direct; average of squid whole/raw indicative CFs,Cephalopods,FAO,,,,,,
030742,"Molluscs; cuttle fish and squid, whether in shell or not, live, fresh or chilled",1.7725,FAO Direct; average of squid whole/raw indicative CFs,Cephalopods,FAO,,,,,,
030743,"Molluscs; cuttle fish and squid, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, frozen",1.615,"FAO Direct; average of squid whole/raw, cuttlefish frozen/gutted indicative CFs",Cephalopods,FAO,,,,,,
030749,"Molluscs; cuttle fish and squid, frozen, dried, salted or in brine (whether in shell or not)",1.871111111,FAO Direct; average of all squid and cuttelfish indicative CFs,Cephalopods,FAO,,,,,,
030751,"Molluscs; octopus (octopus spp.), live, fresh or chilled",1.3,FAO Assumed; frozen octopus indicative CF,Cephalopods,Est,,,,,,
030752,"Molluscs; octopus (Octopus spp.), frozen",1.3,FAO Direct; frozen octopus indicative CF,Cephalopods,FAO,,,,,,
030759,"Molluscs; octopus (octopus spp.), frozen, dried, salted or in brine",2.65,FAO Direct; average of all octopus indicative CFs,Cephalopods,FAO,,,,,,
