HS6,ProductType,ConversionFactor,ConversionDesc,FAOGroup,Derivation,,,,,,
030321,"Fish; trout (salmo trutta, salmo gairdneri, salmo clarki, salmo aguabonita, salmo gilae), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.4,FAO Direct; gutted/head on,Freshwater & diadromous fish,FAO,,,,,,
030322,"Fish; Atlantic salmon (salmo salar) and Danube salmon (hucho hucho), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.143333333,"FAO Direct; average of whole gutted/head on, dressed gutted/head on, dressed gutted/head off",Freshwater & diadromous fish,FAO,,,,,,
030323,"Fish; frozen, tilapias (Oreochromis spp.), excluding fillets, livers, roes, and other fish meat of heading 0304",1.163333333,FAO Assumed; average of all frozen freshwater/anadromous fish,Freshwater & diadromous fish,Est,,,,,,
030324,"Fish; frozen, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), excluding fillets, livers, roes, and other fish meat of heading 0304",1.163333333,FAO Assumed; average of all frozen freshwater/anadromous fish,Freshwater & diadromous fish,Est,,,,,,
030325,"Fish; frozen, carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), excluding fillets, livers, roes, and other fish meat of heading 0304",1.163333333,FAO Assumed; average of all frozen freshwater/anadromous fish,Freshwater & diadromous fish,Est,,,,,,
030326,"Fish; frozen, eels (Anguilla spp.), excluding fillets, livers, roes, and other fish meat of heading 0304",1.11,FAO Direct; gutted/head on,Freshwater & diadromous fish,FAO,,,,,,
030329,"Fish; salmonidae, frozen, n.e.s. in item no. 0302.1 and 0302.2 (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.143333333,"FAO Direct; average of whole gutted/head on, dressed gutted/head on, dressed gutted/head off",Freshwater & diadromous fish,FAO,,,,,,
030331,"Fish; halibut (reinhardtius hippoglossoides, hippoglossus hippoglossus, hippoglossus stenolepis), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.25,FAO Direct; average of flatfish dressed gutted/head on; dressed gutted/head off,Demersal fish,FAO,,,,,,
030332,"Fish; plaice (pleuronectes platessa), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.25,FAO Direct; average of flatfish dressed gutted/head on; dressed gutted/head off,Demersal fish,FAO,,,,,,
030333,"Fish; sole (solea spp.), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.25,FAO Direct; average of flatfish dressed gutted/head on; dressed gutted/head off,Demersal fish,FAO,,,,,,
