"","Country","FMIc1","FMIc2","FMIc3","FMIc3_flp","FMIi","FMIp","Exports","Imports","Production","FoodSupply"
"28","Germany",0.615782600887453,0.657679651124392,0.613696057924193,0.651120653054311,0.616334209966303,0.674888213,6302240.01,11068230.09,1658794,6505748.09
"29","Ghana",0.587156511386412,0.592240954452778,0.574607979954918,0.584420571999606,0.562439685561045,0.608990146,355291.28,2071566.78,2263111,3991386.54
"30","Greece",0.603671121195378,0.630033601536998,0.59506520690794,0.619107770103477,0.564180184774667,0.649557716,851575.37,931130.84,1090639,1162622.47
"31","Guatemala",0.544273293707549,0.552063431148432,0.542692919218349,0.561565102781952,0.535110582889335,0.556684932,175572.33,225492.05,245401,295246.76
"32","Honduras",0.53004795349637,0.531763486010953,0.527261626548094,0.541719972201862,0.520102540114772,0.535688634,370941.39,90126.84,401631,126848.12
"33","Hong Kong",0.468905327042364,0.400830937066895,0.474702841190227,0.459956050574942,0.476656029433255,0.37,1711886.76,4010242.23,925748,2956270.14
"34","Hungary",0.736365915320735,0.84434278010688,0.700110224699591,0.74567210529514,0.633407373181133,0.925511584577892,41785.45,237386.84,134452,330262.71
"35","Iceland",0.878087099137465,0.857499351157465,0.812056635077788,0.773993340460439,0.658246668719745,0.929,4594668.06,357005.34,7417109,182391.26
"36","India",0.422075184354716,0.438101502971944,0.440301049562248,0.475842690293626,0.454383686187376,0.422,6361403.47,198614.27,60622406,49418267.77
"37","Indonesia",0.458866979191692,0.484794143254444,0.488977625949542,0.540271174093098,0.511663663499366,0.458,7527043.19,1084750.62,65049942,58394488.47
"38","Ireland",0.788015805872227,0.790573892559239,0.754499489984613,0.751864458758054,0.676204584926902,0.831437259,1646423.7,589908.25,1737872,601585.47
"39","Italy",0.602853312836546,0.655565866887855,0.597514741091096,0.637214239757015,0.585079699114343,0.680452163,1039715.53,9331658.12,2040450,10273379.88
"40","Japan",0.622847028097044,0.651991674379858,0.608784271891108,0.630291013317715,0.564422373302218,0.679,4192914.82,21774209.87,24634705,36818181.71
"41","Kenya",0.52973991204063,0.515897847179015,0.509641164617348,0.502192570669404,0.498367150452023,0.535,138114.66,149627.82,1036510,1047474.13
"42","Latvia",0.671871367694087,0.71822336184842,0.662392003066085,0.697622632724614,0.647562624633931,0.745812314,857859.11,513159.83,648972,280007.98
"43","Lithuania",0.721035223207293,0.743219344941386,0.705769852910241,0.725800931447777,0.663347965537784,0.769216068,1002116.64,1027708.21,613982,525037.53
"44","Luxembourg",0.588694391880635,0.652501860712978,0.588694391880635,0.637827826507061,0.587233438516296,0.674920701113531,10914.63,126557.23,0,115407.63
"45","Macau",0.455949533743901,0.392953204813496,0.456636690041196,0.439807235388365,0.459754744466374,0.37,1055.63,208679.5,9000,216483.88
"46","Malaysia",0.408765680933643,0.413968516589195,0.433754565188243,0.46911485973775,0.484953202273164,0.386,1777811.35,3440368.72,10485991,10606567.36
"47","Malta",0.59101726109159,0.606884817275677,0.591482984352646,0.617422708893557,0.610211704756067,0.61190458,69393.58,266226.63,48861,84772.8
"48","Mauritius",0.600061189576425,0.678769993721346,0.593274886800429,0.644523629464211,0.621331933187791,0.71451637,1059267.28,1188744.05,92653,179215.86
"49","Mexico",0.561327084590276,0.572781278942425,0.551939000342643,0.566715194218125,0.480885312366111,0.588,1192420.95,2689302.23,10443129,10364029.24
"50","Morocco",0.618988404068079,0.614381563215998,0.611241741624625,0.621174382840917,0.569768538739236,0.622,3457896.69,464935.94,7976259,3850098.5
"51","Netherlands",0.644739064903765,0.666314750206638,0.642893805936744,0.671361959837746,0.639633345697028,0.676095668,8306121.46,8231604.16,2643347,2310570.47
"52","New Zealand",0.767125062813503,0.745003304142876,0.69519467230306,0.648198450980818,0.503328862808378,0.823,2576558.21,317919.72,3234199,678469.22
"53","Nicaragua",0.556510311281213,0.56180183863936,0.543895895909866,0.552837114124516,0.50243576277568,0.578702349,252510.41,71900.04,413341,225939.26
"54","Norway",0.846803798371877,0.806819849306039,0.786229273248924,0.742143076109677,0.671879023627818,0.865,17070998.32,1531592.45,21144421,1591169.51
"55","Panama",0.616841142216135,0.628710454985119,0.592587512108515,0.597020234605784,0.530360780264022,0.661800583,228067.32,241461.85,1013449,337992.95
