Product,Product_Description
3053900,"03053900 Fish Fillets, Dried, Salted Or In Brine, But Not Smoked (Excl. Fillets Of Tilapias, Catfish, Carp, Eels, Nile Perch, Snakeheads And Fish Of The Families Listed In Hs 030532)"
3053901,"03053901 Fish Fillets, Dried, Salted Or In Brine, But Not Smoked (Excl. Fillets Of Tilapias, Catfish, Carp, Eels, Nile Perch, Snakeheads And Fish Of The Families Listed In Hs 030532)"
3053910,"03053910 Fillets Of Pacific Salmon Oncorhynchus Nerka, Oncorhynchus Gorbuscha, Oncorhynchus Keta, Oncorhynchus Tschawytscha, Oncorhynchus Kisutch, Oncorhynchus Masou And Oncorhynchus Rhodurus, Atlantic Salmon Salmo Salar And Danub"
3053933,03053933 Salted Spotted Catfish Fillets
3054100,"03054100 Smoked Pacific Salmon Oncorhynchus Nerka, Oncorhynchus Gorbuscha, Oncorhynchus Keta, Oncorhynchus Tschawytscha, Oncorhynchus Kisutch, Oncorhynchus Masou And Oncorhynchus Rhodurus, Atlantic Salmon Salmo Salar And Danube Sa"
3054101,"03054101 Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou an"
3054110,"03054110 Salmon, Pacific, Atlantic and Danube, farmed, smoked including fillets"
3054130,03054130 Filetes De Salmones Del Pacffico
3054160,03054160 Filetes De Salmones Del Atlntico Y Salmones Del Danubio
3054190,03054190 Los Dems
3054300,"03054300 Smoked Trout Salmo Trutta, Oncorhynchus Mykiss, Oncorhynchus Clarki, Oncorhynchus Aguabonita, Oncorhynchus Gilae, Oncorhynchus Apache And Oncorhynchus Chrysogaster, Incl. Fillets (Excl. Offal)"
3054330,"03054330 Smoked Trout (Salmo Trutta, Oncorhynchus Mykiss, And Oncorhynchus Clarki, Aguabonita, Gilae, Apache And Chrysogaster), Whether Or Not Cooked Before Or During The Smoking Process (Incl. Fillets) (Excl. Livers, Roes, Edible Offal & Hs 030510)"
3054390,03054390 Los Dems
3054400,03054400 Smoked Tilapias / Catfish / Carp / Eels / Nile Perch / Snakeheads (Excl.Offal)
3054401,"03054401 Tilapias (Oreochromis spp.), bagre o pez gato (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), anguilas"
3054441,"03054441 Smoked Tilapias (Oreochromis Spp.), Catfish, Carp, Eels (Anguilla Spp.), Nile Perch And Snakeheads (Channa Spp.), Whether Or Not Cooked Before Or During Smoking Process (Incl. Fillets) (Excl. Livers, Roes, Milt, Edible Offal And Hs 030510)"
3054490,"03054490 Smoked Tilapia Oreochromis Spp., Catfish Pangasius Spp., Silurus Spp., Clarias Spp., Ictalurus Spp., Carp Cyprinus Carpio, Carassius Carassius, Ctenopharyngodon Idellus, Hypophthalmichthys Spp., Cirrhinus Spp., Mylophary"
3055200,"03055200 Dried Tilapias, Catfish, Carp, Eels, Nile Perch And Snakeheads"
3056400,"03056400 Tilapia Oreochromis Spp., Catfish Pangasius Spp., Silurus Spp., Clarias Spp., Ictalurus Spp., Carp Cyprinus Carpio, Carassius Carassius, Ctenopharyngodon Idellus, Hypophthalmichthys Spp., Cirrhinus Spp., Mylopharyngodon "
3056950,"03056950 Pacific Salmon Oncorhynchus Nerka, Oncorhynchus Gorbuscha, Oncorhynchus Keta, Oncorhynchus Tschawytscha, Oncorhynchus Kisutch, Oncorhynchus Masou And Oncorhynchus Rhodurus, Atlantic Salmon Salmo Salar And Danube Salmon H"
3061300,"03061300 Shrimps and prawns, frozen, in shell or not, including boiled in shell"
3061701,03061701 Los Dems Camarones Y Langostinos
3061711,03061711 Other Frozen Shelled Shrimps
3061719,03061719 Other Frozen Shrimps
3061720,03061720 Whiteleg Shrimps Frozen
3061721,03061721 Other Frozen Shelled Prawns
3061729,03061729 Other Frozen Prawns
3061730,03061730 Giant River Prawns Frozen
3061780,03061780 Others
3061790,"03061790 Outros Camaroes, Que No Inteiros, Congelados"
3061792,"03061792 Frozen Shrimps Of The Genus Penaeus, Even In Shell, Incl. Shrimps In Shell, Cooked By Steaming Or By Boiling In Water (Excl. Smoked)"
3061799,"03061799 Frozen Shrimps And Prawns, Even In Shell, Incl. Shrimps And Prawns In Shell, Cooked By Steaming Or By Boiling In Water (Excl. Smoked And Pandalidae, Crangon, Deepwater Rose Shrimps Parapenaeus Longirostris And Shrimps O"
3061910,"03061910 Frozen Freshwater Crayfish, Whether In Shell Or Not, Incl. Crayfish In Shell, Cooked By Steaming Or By Boiling In Water"
3061911,03061911 Frozen Freshwater Shelled Crawfish
3061919,03061919 Other Frozen Freshwater Crawfish
3061990,"03061990 Frozen Crustaceans, Fit For Human Consumption, Whether In Shell Or Not, Incl. Crustaceans In Shell, Cooked Beforehand By Steaming Or By Boiling In Water (Excl. Rock Lobster And Other Sea Crawfish, Lobsters, Shrimps, Prawns, Crabs, Freshwater Crayfish And"
3061999,"03061999 Los dems, incluidos la harina, polvo y pellets de crustceos, aptos para la alimentaci=n humana"
3062300,"03062300 Shrimps and prawns, not frozen, in shell or not, including boiled in shell"
3062712,03062712 Breeding Whiteleg Shrimps
3062719,03062719 Other Breeding Shrimps & Prawns
3062721,03062721 Giant Tiger Prawns Live
3062722,03062722 Whiteleg Shrimps Live
3062729,03062729 Other Shrimps & Prawns Live
3062731,03062731 Giant Tiger Prawns Fresh Or Chilled
3062732,03062732 Whiteleg Shrimps Fresh Or Chilled
3062739,03062739 Other Shrimps & Prawns Fresh Or Chilled
3062741,03062741 Shrimps & Prawns Dried In Airtight Containers
3062749,03062749 Shrimps & Prawns Dried Not In Airtight Containers
3062799,"03062799 Shrimps And Prawns, Even In Shell, Incl. Shrimps And Prawns In Shell, Cooked By Steaming Or By Boiling In Water (Excl. Smoked, Frozen And Pandalidae And Crangon)"
3062901,"03062901 Crustaceans (incl. flours, meals and pellets) not frozen (exlc. rock lobsters, lobsters, shrimps, prawns and crabs) fit for human consumption"
3062990,"03062990 Crustaceans Fit For Human Consumption, Whether In Shell Or Not, Live, Fresh, Chilled, Dried, Salted Or In Brine, Incl. Crustaceans In Shell, Cooked Beforehand By Steaming Or By Boiling In Water (Excl. Rock Lobster And Other Sea Crawfish, Lobsters, Shrimps"
3063110,03063110 Live Rock Lobster And Other Sea Crawfish For Cultivation
3063210,03063210 Live Lobsters For Cultivation
3063310,03063310 Live Crabs For Cultivation
3063510,03063510 Live Cold-Water Shrimps And Prawns For Cultivation
3063550,03063550 Live Shrimps [Crangon Crangon]
3063610,03063610 Other Shrimps/Prawns For Cultivation
3063611,"03063611 Giant Tiger Prawns (Penaeus Monodon), Breeder"
3063612,"03063612 Whiteleg Shrimps (Litopenaeus Vannamei), Breeder"
3063613,"03063613 Giant River Prawns (Macrobrachium Rosenbergii), Breeder"
3063619,"03063619 Other Shrimps And Prawns, Breeder"
3063620,03063620 Other Fresh/Chilled Prawns
3063623,"03063623 Giant River Prawns (Macrobrachium Rosenbergii), Live"
3063631,"03063631 Giant Tiger Prawns (Penaeus Monodon), Fresh Or Chilled"
3063632,"03063632 Whiteleg Shrimps (Litopenaeus Vannamei), Fresh Or Chilled"
3063633,03063633 Giant River Prawns (Macrobrachium Rosenbergii) Fresh Or Chilled
3063639,"03063639 Other Shrimps And Prawns, Fresh Or Chilled"
3063650,"03063650 Shrimps Of The Genus Crangon, Whether In Shell Or Not, Live, Fresh Or Chilled (Excl. [Crangon Crangon])"
3063699,"03063699 Prawns, Other Than Cold-Water Prawns (Pandalus Spp., Crangon Crangon), Fresh Or Chilled (Including Those In Shell, Cooked By Steaming Or By Boiling In Water)"
3063910,03063910 Other Crustaceans For Cultivation
3069100,"03069100 Rock Lobster And Other Sea Crawfish,Prepared Other Than Fresh/Chilled"
3069501,"03069501 Subgroup Of: 030695 Shrimps And Prawns, Whether In Shell Or Not, Dried, Salted, Smoked Or In Brine, Incl. Ones In Shell, Cooked By Steaming Or By Boiling In Water"
3069509,"03069509 Subgroup Of: 030695 Shrimps And Prawns, Whether In Shell Or Not, Dried, Salted, Smoked Or In Brine, Incl. Ones In Shell, Cooked By Steaming Or By Boiling In Water"
3069511,"03069511 Shrimps [Crangon Crangon], Whether In Shell Or Not, Dried, Salted, Smoked Or In Brine, Cooked By Steaming Or By Boiling In Water"
3069519,"03069519 Shrimps [Crangon Crangon], Whether In Shell Or Not, Dried, Salted, Smoked Or In Brine (Excl. Cooked By Steaming Or By Boiling In Water)"
3069520,"03069520 Shrimps And Prawns [Pandalus Spp.], Whether In Shell Or Not, Dried, Salted, Smoked Or In Brine, Incl. Ones In Shell, Cooked By Steaming Or By Boiling In Water"
3069521,03069521 Shrimps & Prawns In Shell & Cooked By Steaming Or Boiling In Water In Airtight Containers For Retail Sale (Tne)
3069529,"03069529 Shrimps And Prawns, Without Shell, Cooked By Steaming Or Boiling In Water, In Airtight Containers For Retail Sale"
3069540,"03069540 Shrimps Of The Genus Crangon, Whether In Shell Or Not, Dried, Salted, Smoked Or In Brine, Incl. Shrimps In Shell, Cooked By Steaming Or By Boiling In Water (Excl. [Crangon Crangon])"
3069590,"03069590 Other Shrimps And Prawns,Prepared Other Than Fresh/Chilled"
3071000,"03071000 Oysters, shelled or not, live, fresh, chilled,frozen,dried, salted or in brine"
3071100,"03071100 Live, Fresh Or Chilled Oysters, Whether In Shell Or Not"
3071110,03071110 Live Flat Oysters Ostrea Weighing Incl. Shell <= 40 G
3071120,03071120 Oysters Fresh Or Chilled
3071190,"03071190 Oysters, Even In Shell, Live, Fresh Or Chilled (Excl. Live Flat Oysters Ostrea Weighing Incl. Shell <= 40 G)"
3071200,03071200 Frozen Oysters
3071290,03071290 Others
3071900,"03071900 Oysters, Whether In Shell Or Not, Frozen, Dried, Salted, In Brine Or Smoked, Whether Or Not Cooked Before Or During The Smoking Process"
3071901,"03071901 Oysters, Whether In Shell Or Not, Dried, Salted, In Brine Or Smoked, Whether Or Not Cooked Before Or During The Smoking Process"
3071910,"03071910 Oysters, Smoked, Even In Shell, Even Cooked But Not Otherwise Prepared"
3071930,03071930 Oysters Smoked
3071990,"03071990 Oysters, Even In Shell, Frozen, Dried, Salted Or In Brine (Excl. Smoked)"
3071999,03071999 Las Dems
3072100,"03072100 Live, Fresh Or Chilled Scallops, Incl. Queen Scallops, Of The Genera Pecten, Chlamys Or Placopecten, With Or Without Shell"
3072109,03072109 Other
3072200,03072200 Frozen Scallops
3072290,"03072290 Scallops, Incl. Queen Scallops, Of The Genera Pecten, Chlamys Or Placopecten, Frozen, Even In Shell (Excl. Coquilles St Jacques [Pecten Maximus])"
3072900,"03072900 Scallops, Including Queen Scallops, Frozen, Dried, Salted Or In Brine"
3072902,03072902 Smoked Scallops
3072930,"03072930 Scallops, Including Queen Scallops, Of The Genera Pecten, Chlamys Or Placopecten, Dried, Salted Or In Brine"
3072940,"03072940 Scallops Including Queen Scallops Of Genera Pecten, Chlamys Or Placopecten Smoked"
3072990,"03072990 Scallops, Incl. Queen Scallops, Of The Genera Pecten, Chlamys Or Placopecten, Frozen, Dried, Salted Or In Brine, With Or Without Shell (Excl. Coquilles St. Jacques Pecten Maximus)"
3073100,"03073100 Mussels, shelled or not, live, fresh or chilled"
3073109,03073109 Mussels; Other
3073110,"03073110 Mussels Mytilus Spp., Live, Fresh Or Chilled, With Or Without Shell"
3073190,"03073190 Mussels Perna Spp., Live, Fresh Or Chilled, With Or Without Shell"
3073200,03073200 Frzen Mussels
3073210,"03073210 Mussels [Mytilus Spp.], Frozen, Even In Shell"
3073290,"03073290 Mussels [Perna Spp.], Frozen, Even In Shell"
3073900,"03073900 Mussels, Frozen, Dried, Salted Or In Brine"
3073910,"03073910 Mussels Mytilus Spp., Frozen, Dried, Salted Or In Brine, With Or Without Shell"
3073920,"03073920 Mussels (Mytilus Spp., Perna Spp.), Dried, Salted Or In     Brine"
3073951,"03073951 Mussels (Mytilus Spp., Perna Spp.), Whether In Shell Or Not, Dried, Salted, In Brine Or Smoked, Whether Or Not Cooked Before Or During The Smoking Process"
3073980,"03073980 Mussels [Perna Spp.], Smoked, Dried, Salted Or In Brine, Even In Shell"
3073990,"03073990 Mussels Perna Spp., Frozen, Dried, Salted Or In Brine, With Or Without Shell"
3074210,03074210 Cuttle Fish And Squid For Cultivation
3076040,"03076040 Snails, Other Than Sea Snails,For Cultivation"
3077100,"03077100 Live, Fresh Or Chilled, Even In Shell, Clams, Cockles And Ark Shells Families Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae And Ven"
3077110,"03077110 Clams, Cockles And Ark Shells, For Cultivation"
3077120,03077120 Clams Cockles & Ark Shells Fresh Or Chilled
3077200,"03077200 Frozen Clams, Cockles And Ark Shells"
3077290,"03077290 Frozen, Even In Shell, Clams, Cockles And Ark Shells [Families Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae]"
3077900,"03077900 Clams, Cockles And Ark Shells (Families Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae And Veneridae), Frozen, Dried, Salted, In Brine Or Smoked"
3077901,"03077901 Clams, Cockles And Ark Shells (Families Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae And Veneridae), Dried, Salted, In Brine Or Smoked"
3077910,"03077910 Clams, Cockles And Ark Shells Families Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae And Veneridae, Smoked, Even In Shell, Even Co"
3077920,03077920 Clams Cockles & Ark Shells Dried Salted Smoked Or In Brine
3077940,"03077940 Clams Cockles & Ark Shells (Families Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae And Veneridae) Smoked"
3077990,"03077990 Frozen, Dried, Salted Or In Brine, Even In Shell, Clams, Cockles And Ark Shells Families Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacni"
3077999,03077999 Los Dems
3078110,"03078110 Abalone, For Cultivation"
3078210,03078210 Stromboid Conchs For Cultivation
3079990,"03079990 Molluscs, Fit For Human Consumption, Whether In Shell Or Not, Dried, Salted Or In Brine, Incl. Sea Urchins, Sea Cucumbers And Other Aquatic Invertebrates (Other Than Crustaceans); Flours, Meals And Pellets Of Aquatic Invertebrates (Other Than Crustaceans)"
3081100,"03081100 Live, Fresh Or Chilled, Sea Cucumbers Stichopus Japonicus, Holothurioidea"
3081110,03081110 Sea Cucumbers For Cultivation
3081120,03081120 Sea Cucumbers Fresh Or Chilled
3081200,03081200 Frozen Sea Cucumbers
3081900,"03081900 Sea Cucumbers (Stichopus Japonicus, Holothurioidea), Frozen, Dried, Salted, In Brine Or Smoked, Whether Or Not Cooked Before Or During The Smoking Process"
3081901,"03081901 Sea Cucumbers (Stichopus Japonicus, Holothurioidea), Dried, Salted, In Brine Or Smoked, Whether Or Not Cooked Before Or During The Smoking Process"
3081910,"03081910 Sea Cucumbers Stichopus Japonicus, Holothurioidea, Smoked, Even Cooked But Not Otherwise Prepared"
3081920,03081920 Sea Cucumbers Dried Salted Or In Brine
3081930,"03081930 Sea Cucumbers Stichopus Japonicus, Holothurioidea, Frozen (Excl. Smoked)"
3081990,"03081990 Sea Cucumbers Stichopus Japonicus, Holothurioidea, Dried, Salted Or In Brine (Excl. Smoked)"
3081999,03081999 Los Dems
3082110,03082110 Sea Urchins For Cultivation
3083000,"03083000 Jellyfish (Rhopilema Spp.), Live, Fresh, Chilled, Frozen, Dried, Salted, In Brine Or Smoked, Whether Or Not Cooked Before Or During The Smoking Process"
3083010,"03083010 Live, Fresh Or Chilled, Jellyfish Rhopilema Spp."
3083020,03083020 Jellyfish Fresh Or Chilled
3083030,"03083030 Smoked Jellyfish Rhopilema Spp., Even Cooked But Not Otherwise Prepared"
3083040,03083040 Jellyfish Dried Salted Or In Brine
3083050,03083050 Frozen Jellyfish Rhopilema Spp. (Excl. Smoked)
3083080,"03083080 Live, Fresh, Chilled, Smoked, Dried, Salted Or In Brine, Jellyfish Rhopilema Spp."
3083090,"03083090 Dried, Salted Or In Brine, Jellyfish Rhopilema Spp. (Excl. Smoked)"
301119200,0301119200 Goldfish (Carassius Auratus)
3011192000,03011192000 Goldfish (Carassius Auratus)
30191100001,030191100001 Alevines De Trucha (Oreochromis Sp)
301991101,0301991101 Milkfish
301992941,"0301992941 Grouper, Live Grouper, Live"
301995100,"0301995100 Milkfish, Breeding"
3019951000,"03019951000 Milkfish, Breeding"
301995200,0301995200 Grouper
3019952000,03019952000 Grouper
301999060,0301999060 Mullets
302112000,0302112000 Oncorhynchus apache and Oncorhynchus chrysogaster
30211200000,030211200000 Alabalklar; Oncorhynchus Mykiss Tr (Taze/Soutulmu)(Bal/Solungal/Ii Temizlenmi)
302118000,0302118000 Other
16041100,"16041100 Prepared Or Preserved Salmon, Whole Or In Pieces (Excl. Minced)"
16041101,16041101 Brine-cured salmon
16041102,16041102 In hermetically sealed containers
16041120,"16041120 Prepared/Preserved, Of Coho Salmon, Whole/In Pieces, But Not Minced"
16041130,"16041130 Prepared/Preserved, Of Pink Salmon, Whole/In Pieces, But Not Minced"
16041140,"16041140 Prepared/Preserved, Of Sockeye Salmon, Whole/In Pieces, But Not Minced"
16041190,"16041190 Salmon, Exc In Airtight Ctnr, Prepared, Whole Or In Pieces, Not Minced"
16041910,"16041910 Prepared Or Preserved Salmonidae, Whole Or In Pieces (Excl. Salmon And Minced)"
302398000,0302398000 Other
16042010,16042010 Prepared Or Preserved Salmon (Excl. Whole Or In Pieces)
16042030,16042030 Prepared Or Preserved Salmonidae (Excl. Salmon And Whole Or In Pieces)
16042093,"16042093 Preparaciones Y Conservas De Salmon, Envasados Hermeticamente O Al Vacio"
16052000,"16052000 Shrimps And Prawns, Prepared Or Preserved"
16052100,"16052100 Prepared Or Preserved Shrimps And Prawns, Not In Airtight Containers (Excl. Shrimps And Prawns Of Chapter 03)"
302590001,0302590001 Milkfish (Bangus)
16052110,"16052110 Shrimps And Prawns, Prepared Or Preserved, In Immediate Packings Of A Net Content Of <= 2 Kg (Excl. Merely Smoked, And In Airtight Containers)"
16052111,"16052111 Subgroup Of:160521 Shrimps And Prawns, Prepared Or Preserved, Not In Airtight Containers (Excl. Smoked)"
16052112,"16052112 Subgroup Of:160521 Shrimps And Prawns, Prepared Or Preserved, Not In Airtight Containers (Excl. Smoked)"
302590009,0302590009 Other
16052119,16052119 Los Dems
16052120,"16052120 Subgroup Of:160521 Shrimps And Prawns, Prepared Or Preserved, Not In Airtight Containers (Excl. Smoked)"
16052121,16052121 Camarn Nailon (Heterocarpus Reedi )
302590020,"0302590020 Merlans, Autres Que Merlans Bleus"
16052129,16052129 Los Dems
16052190,"16052190 Shrimps And Prawns, Prepared Or Preserved, In Immediate Packings Of A Net Content Of > 2 Kg (Excl. Merely Smoked, And In Airtight Containers)"
16052900,"16052900 Shrimps And Prawns, Prepared Or Preserved, In Airtight Containers (Excl. Smoked)"
16052901,"16052901 Subgroup Of:160529 Shrimps And Prawns, Prepared Or Preserved, In Airtight Containers (Excl. Smoked)"
16052909,"16052909 Subgroup Of:160529 Shrimps And Prawns, Prepared Or Preserved, In Airtight Containers (Excl. Smoked)"
16052910,16052910 Shrimp Paste In Airtight Containers
16052911,16052911 Camarn Nailon (Heterocarpus Reedi )
16052920,"16052920 Shrimp Ball, In Airtight Container"
16052930,"16052930 Breaded Shrimp, In Airtight Container"
16052990,16052990 Other Shrimps & Prawns Prepared Or Preserved In Airtight Containers
16052999,16052999 Los Dems
16054011,"16054011 Freshwater Crawfish Shelled, Prepared Or Preserved"
16054019,"16054019 Freshwater Crawfish In Shell, Prepared Or Preserved"
302692001,0302692001 Milkfish (Bangus)
16055100,"16055100 Oysters, Prepared Or Preserved (Excl. Smoked)"
3027100000,03027100000  (Oreochromis Spp.)
16055110,16055110 Oysters In Airtight Packings
16055190,"16055190 Oysters, Prepared Or Preserved"
16055200,"16055200 Scallops, Incl. Queen Scallops, Prepared Or Preserved (Excl. Smoked)"
16055220,"16055220 Scallops In Airtight Packings, Incl. Queen Scallops"
16055300,16055300 Prepared Or Preserved Mussels (Excl. Mussels Of Chapter 03)
16055310,"16055310 Mussels, Prepared Or Preserved, In Airtight Containers (Excl. Merely Smoked)"
16055390,"16055390 Mussels, Prepared Or Preserved (Excl. In Airtight Containers, And Merely Smoked)"
30279000000,030279000000 Nil Levrei (Lates Niloticus) Ve Ylanbalar (Channa Spp.); Taze Veya Soutulmu
302790001,0302790001 Milkfish (Bangus)
16055600,"16055600 Clams, Cockles And Arkshells, Prepared Or Preserved (Excl. Smoked)"
30284100000,030284100000 Avrupa Deniz Levrei (Dicentrarchus Labrax); Taze Veya Soutulmu
30285300000,030285300000 ipura (Sparus Aurata); Taze Veya Soutulmu
16056100,"16056100 Sea Cucumbers, Prepared Or Preserved (Excl. Smoked)"
16056110,16056110 Sea Cucumbers In Airtight Packings
16056190,"16056190 Sea Cucumbers, Prepared Or Preserved"
16056300,"16056300 Jellyfish, Prepared Or Preserved (Excl. Smoked)"
16056310,16056310 Jellyfish In Airtight Packings
16056390,"16056390 Jellyfish, Prepared Or Preserved"
302891100,0302891100 Grouper
3028911000,03028911000 Grouper
30111100,"030111100 Ornamental Fish, Carp And Gold-Fish, Live"
30111200,"030111200 Ornamental Fish, Excluding Carp And Gold-Fish, Live"
30191000,"030191000 Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster), live"
30192100,"030192100 Fry for fish culture of Eels (Anguilla spp.), live"
30193000,"030193000 Carp, live"
30199119,"030199119 Ohter Fry for fish culture, other than those of subheading 0301.91, 0301.92 or 0301.93, (Excluding Buri(Seriola spp.)(Seriola quinqueradiata))"
30199190,"030199190 Other Fry for fish culture, other than those of subheading 0301.91, 0301.92 or 0301.93 and Buri (Seriola spp.), live"
30199210,"030199210 Nishin (Clupea spp.), Tara (Gadus spp., Theragra spp. and Merluccius spp.), Buri (Seriola spp.), Saba (Scomber spp.), Iwashi (Etrumeus spp., Sardinops spp. and Engraulis spp.), Aji (Trachurus spp. and Decapterus spp.) and Samma (Cololabis spp.), excluding"
30211000,"030211000 Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster )(excluding fish fillets, other fish meat, livers and roes), fresh or chilled"
30213000,"030213000 Pacific Salmon (Oncorhynchus Nerka, Oncorhynchus Gorbuscha, Oncorhynchus Keta, Oncorhynchus Tschawytscha, Oncorhynchus Kisutch, Oncorhynchus Masou And Oncorhynchus Rhodurus), Excluding Fish Fillets And Other Fish Meat, Livers And Roes, Fresh Or Chilled"
30213011,"030213011 Red Salmon (Oncorhynchus Nerka) (Excluding Fish, Fillet, Other Fish Meat, Livers And Roes), Fresh Or Chilled"
30213019,"030213019 Pacific Salmon, Other Than Red Salmon And Silver Salmon (Oncorhynchus Gorbuscha, Oncorhynchus Keta, Oncorhynchus Tschawytscha, Oncorhynchus Masou And Oncorhynchus Rhodurus.) (Excluding Fish Fillet, Other Fish Meat, Livers And Roes), Fresh Or Chilled"
30214000,"030214000 Atlantic Salmon (Salmo Salar) And Danube Salmon (Hucho Hucho)(Excluding Fish, Fillet, Other Fish Meat, Livers And Roes), Fresh Or Chilled"
30219000,"030219000 Other Salmonidae, (excluding fish fillet, other fish meat, livers and roes), fresh or chilled"
30279000,"030279000 Nile Perch (Lates Niloticus) And Snakeheads (Channa Spp.)(Excluding Fish Fillet, Other Fish Meat, Livers And Roes), Fresh Or Chilled"
30284000,"030284000 Seabass(Dicentrarchus Spp.)(Excluding Fish Fillet, Other Fish Meat, Livers And Roes), Fresh Or Chilled"
30289100,"030289100 Buri (Seriola Spp.), Excluding Fish Fillets And Other Fish Meat, Edible Fish Offal Of Subheadings 0302.91 To 0302.99, Fresh Or Chilled"
30289110,"030289110 Buri(Seriola Spp.)(Excluding Fish Fillet, Other Fish Meat, Livers And Roes), Fresh Or Chilled"
30311000,"030311000 Red salmon (Oncorhynchus nerka) (excluding fish fillet, other fish meat, livers and roes), frozen"
30312000,"030312000 Other Pacific Salmon, Excluding Fillets And Other Fish Meat, Livers And Roes, Frozen"
30312010,"030312010 Silver Salmon (Oncorhynchus Kisutch) (Excluding Fish Fillet, Other Fish Meat, Livers And Roes), Frozen"
30312090,"030312090 Pacific Salmon Other Than Red Salmon And Silver Salmon (Oncorhynchus Gorbuscha, Oncorhynchus Keta, Oncorhynchus Tschawytscha, Oncorhynchus Masou And Oncorhynchus Rhodurus) (Excluding Fish Fillet, Other Fish Meat, Livers And Roes), Frozen"
30313000,"030313000 Atlantic Salmon (Salmo Salar) And Danube Salmon (Hucho Hucho)(Excluding Fish Fillet, Other Fish Meat, Livers And Roes), Frozen"
30314000,"030314000 Trout (Salmo Trutta, Oncorhynchus Mykiss, Oncorhynchus Clarki, Oncorhynchus Aguabonita, Oncorhynchus Apache And Oncorhynchus Chrysogaster ) (Excluding Fish Fillet, Other Fish Meat, Livers And Roes), Frozen"
30319000,030319000 Other pacific salmon
30323000,"030323000 Tilapias (Oreochromis Spp.)(Excluding Fish Fillet, Other Fish Meat, Livers And Roes), Frozen"
30324000,"030324000 Catfish (Pangasius Spp., Silurus Spp., Clarias Spp., Ictalurus Spp.)(Excluding Fish Fillet, Other Fish Meat, Livers And Roes), Frozen"
30325000,"030325000 Carp (Cyprinus Carpio, Carassius Carassius, Ctenopharyngodon Idellus, Hypophthalmichthys Spp., Cirrhinus Spp., Mylopharyngodon Piceus)(Excluding Fish Fillet, Other Fish Meat, Livers And Roes), Frozen"
30329000,"030329000 Other salmonidae (excluding fish fillet, other fish meat, livers and roes), frozen"
30384000,"030384000 Seabass (Dicentrarchus Spp.)(Excluding Fish Fillet, Other Fish Meat, Livers And Roes), Frozen"
30389122,"030389122 Buri(Seriola Spp.)(Excluding Fish Fillet, Other Fish Meat, Livers And Roes), Frozen"
30389600,"030389600 Buri (Seriola Spp.), Excluding Fish Fillets And Other Fish Meat, Edible Fish Offal Of Subheadings 0303.91 To 0303.99, Frozen"
30399919,"030399919 Buri (Seriola Spp.), Iwashi (Etrumeus Spp., Sardinops Spp. And Engraulis Spp.),Aji (Trachurus Spp. And Decapterus Spp.),And Samma (Cololabis Spp.), Edible Fish Offal Excluding Viscera, Frozen"
30432000,"030432000 Fillets Of Catfish (Pangasius Spp., Silurus Spp., Clarias Spp., Ictalurus Spp.), Fresh Or Chilled"
30433000,"030433000 Fillets Of Nile Perch (Lates Niloticus), Fresh Or Chilled"
30439000,"030439000 Fillets Of Carp (Cyprinus Carpio, Carassius Carassius, Ctenopharyngodon Idellus,Hypophthalmichthys Spp., Cirrhinus Spp., Mylopharyngodon Piceus),Eels (Anguilla Spp.)And Snakeheads (Channa Spp.), Fresh Or Chilled"
