Product,Product_Description
3031400,"03031400 Frozen Trout (Salmo Trutta, Oncorhynchus Mykiss, Oncorhynchus Clarki, Oncorhynchus Aguabonita, Oncorhynchus Gilae, Oncorhynchus Apache And Oncorhynchus Chrysogaster) (Excl. Fillets And Other Meat Of Hs 0304 And Livers And Roes)"
3031401,"03031401 Whole, Frozen Farmed Trout"
3031410,03031410 Frozen Trout Oncorhynchus Apache And Oncorhynchus Chrysogaster
3031411,"03031411 Subgroup Of:030314 Frozen Trout Salmo Trutta, Oncorhynchus Mykiss, Oncorhynchus Clarki, Oncorhynchus Aguabonita, Oncorhynchus Gilae, Oncorhynchus Apache And Oncorhynchus Chrysogaster"
3031419,"03031419 Subgroup Of:030314 Frozen Trout Salmo Trutta, Oncorhynchus Mykiss, Oncorhynchus Clarki, Oncorhynchus Aguabonita, Oncorhynchus Gilae, Oncorhynchus Apache And Oncorhynchus Chrysogaster"
3031420,"03031420 Frozen Trout Oncorhynchus Mykiss, With Heads And Gills On, Gutted, Weighing More Than 1,2-kg Each, Or With Heads Off, Gilled And Gutted, Weighing More Than 1-kg Each"
3031440,"03031440 Belly (Harami, Harasu)"
3031490,"03031490 Frozen Trout Salmo Trutta, Oncorhynchus Mykiss, Oncorhynchus Clarki, Oncorhynchus Aguabonita And Oncorhynchus Gilae (Excl. Oncorhynchus Mykiss With Heads And Gills On, Gutted, Weighing More Than 1,2 Kg Each, Or With Heads O"
3031900,"03031900 Frozen Salmonidae (Excl. Trout And Pacific, Atlantic And Danube Salmon)"
3031911,03031911 Frozen Salmonidae (Excl. Sockeye Salmon (Red Salmon); Pacific Salmon; Atlantic Salmon; Danube Salmon; Trout; Fillets And Other Meat Of Hs 0304 And Edible Fish Offal Of Hs 03039)
3031999,03031999 Los dems
3032200,03032200 Frozen Atlantic Salmon Salmo Salar And Danube Salmon Hucho Hucho
3032300,03032300 Frozen Tilapia Oreochromis Spp.
3032301,03032301 Tilapias (Oreochromis Spp.)
3032390,03032390 Other Tilapia
3032400,"03032400 Frozen Catfish Pangasius Spp., Silurus Spp., Clarias Spp., Ictalurus Spp."
3032401,"03032401 Bagre O Pez Gato (Pangasius Spp., Silurus Spp., Clarias Spp., Ictalurus Spp.)"
3032410,"03032410 Catfish (Pangasius Spp, Silrus Spp, Ictalurus Spp)"
3032490,"03032490 Perca-Do-Nilo E Cabecas-De-Serpente, Congelados"
3032500,"03032500 Frozen Carp Cyprinus Carpio, Carassius Carassius, Ctenopharyngodon Idellus, Hypophthalmichthys Spp., Cirrhinus Spp., Mylopharyngodon Piceus"
3032501,"03032501 Carpas (Cyprinus Carpio, Carassius Carassius, Ctenopharyngodon Idellus, Hypophthalmichthys Spp., Cirrhinus Spp., Mylopharyngodon Piceus)"
3032590,03032590 Other Carp
3032900,"03032900 Frozen, Nile Perch (Lates Niloticus) And Snakeheads (Channa Spp.)"
3032911,03032911 Frozen Nile Perch (Lates Niloticus) And Snakeheads (Channa Spp.) (Excl. Fillets And Other Meat Of Hs 0304 And Edible Fish Offal Of Hs 03039)
3032999,03032999 Los dems
3036311,"03036311 Frozen, Headless Farmed Cod"
3037700,"03037700 Frozen Sea Bass Dicentrarchus Labrax, Dicentrarchus Punctatus"
3038400,03038400 Frozen Seabass (Dicentrarchus Spp.) (Excl. Fillets And Other Meat Of Hs 0304 And Livers And Roes)
3038401,03038401 Rbalos (Dicentrarchus Spp)
3038410,03038410 Frozen European Sea Bass Dicentrarchus Labrax
3038900,03038900 Los Dems
3038901,"03038901 Tilapia (Oreochromis Spp.), Frozen, Excluding Fillets, Livers And Roes"
3038903,"03038903 Yellow Croaker (Pseudosicaena), Frozen, Excluding Fillets, Livers And Roes"
3038920,03038920 Frozen Yellow Croaker
3038922,03038922 Rohu Catla & Swamp Barb Frozen Excl Livers & Roes
3038928,03038928 Wallago & Giant River Catfish Frozen Excl Livers & Roes
3038955,03038955 Frozen Gilt-Head Sea Bream Sparus Aurata
3038956,"03038956 Pirarucu (Congelado) ,Exceto Fils, Outras Carnes, Etc"
3038959,03038959 Las Dems
3038960,03038960 Frozen Ray'S Bream Brama Spp.
3038961,03038961 Entera
3038962,03038962 Descabezada Y Eviscerada (Hg)
3039121,03039121 Frozen Salmon Roes And Trout Roes
3039917,03039917 Frozen Catfish Heads
3043100,03043100 Fresh Or Chilled Fillets Of Tilapia Oreochromis Spp.
3043101,03043101 De Tilapias (Oreochromis Spp.)
3043200,"03043200 Fresh Or Chilled Fillets Of Catfish Pangasius Spp., Silurus Spp., Clarias Spp., Ictalurus Spp."
3043201,"03043201 De Bagre O Pez Gato (Pangasius Spp, Silurus Spp, Clarias Spp, Ictalurus Spp)"
3043300,03043300 Fresh Or Chilled Fillets Of Nile Perch Lates Niloticus
3043900,"03043900 Fresh Or Chilled Fillets Of Carp Cyprinus Carpio, Carassius Carassius, Ctenopharyngodon Idellus, Hypophthalmichthys Spp., Cirrhinus Spp., Mylopharyngodon Piceus, Eels Anguilla Spp. And Snakeheads Channa Spp."
3043901,"03043901 Fresh Or Chilled Fillets Of Carp (For Full List Of Carp Spp., See Ahecc), Eels (Anguilla Spp.) And Snakeheads (Channa Spp.)"
3043999,03043999 Los Dems
3044100,"03044100 Fresh Or Chilled Fillets Of Pacific Salmon Oncorhynchus Nerka, Oncorhynchus Gorbuscha, Oncorhynchus Keta, Oncorhynchus Tschawytscha, Oncorhynchus Kisutch, Oncorhynchus Masou And Oncorhynchus Rhodurus, Atlantic Salmon Salmo"
3044101,"03044101 De Salmones Del Pacfico (Oncorhynchus Nerka, Oncorhynchus Gorbuscha, Oncorhynchus Keta, Oncorhynchus Tschawytscha, Oncorhynchus Kisutch, Oncorhynchus Masou Y Oncorhynchus Rhodurus), Salmones Del Atlntico (Salmo Salar) Y Salmones Del Danubio (Hucho Huch"
3044110,03044110 Salmones Del Pacfico
3044111,"03044111 Fresh, Filleted Farmed Atlantic Salmon"
3044120,03044120 Salmones Del Atlntico Y Salmones Del Danubio
3044190,"03044190 Salmon Fillets, Nes, Fresh Or Chilled"
3044200,"03044200 Fresh Or Chilled Fillets Of Trout (Salmo Trutta, Oncorhynchus Mykiss, Oncorhynchus Clarki, Oncorhynchus Aguabonita, Oncorhynchus Gilae, Oncorhynchus Apache And Oncorhynchus Chrysogaster)"
3044201,"03044201 De Truchas (Salmo Trutta, Oncorhynchus Mykiss, Oncorhynchus Clarki, Oncorhynchus Aguabonita, Oncorhynchus Gilae, Oncorhynchus Apache Y Oncorhynchus Chrysogaster)"
3044210,"03044210 Fresh Or Chilled Fillets Of Trout Oncorhynchus Mykiss, Weighing > 400 G Each"
3044250,03044250 Fresh Or Chilled Fillets Of Trout Oncorhynchus Apache And Oncorhynchus Chrysogaster
3044290,"03044290 Fresh Or Chilled Fillets Of Trout Salmo Trutta, Oncorhynchus Mykiss, Oncorhynchus Clarki, Oncorhynchus Aguabonita And Oncorhynchus Gilae (Excl. Of Oncorhynchus Mykiss Weighing > 400 G Each)"
3044401,"03044401 Fresh, Filleted Farmed Cod"
3044900,"03044900 Fresh Or Chilled Fillets Of Fish (Excl. Of Tilapias, Catfish, Nile Perch, Carp, Eels, Snakeheads, Pacific Salmon, Atlantic Salmon, Danube Salmon, Trout, Flat Fish, Swordfish, Toothfish And Fish Of The Families Listed In Hs 030444)"
3044922,03044922 Fresh Catfish Fillets With Skin
3044932,"03044932 Fresh, Skinned, Portioned Catfish Fillets"
3044942,"03044942 Fresh, Unskinned, Portioned Catfish Fillets"
