"","Country","FMIc1","FMIc2","FMIc3","FMIc3_flp","FMIi","FMIp","Exports","Imports","Production","FoodSupply"
"16","Cote d Ivoire",0.510588514385669,0.493333484716899,0.510984532487299,0.518116632658223,0.51747728052147,0.486798698,389950.12,2322224.75,451442,2383716.63
"17","Croatia",0.618194905847051,0.622588783962094,0.619250032196545,0.640830030033817,0.618908168313748,0.622874455,365821.68,304207.66,520683,461874.41
"18","Cyprus",0.500200042663003,0.544339677402976,0.50502475033172,0.545766345345304,0.500469222405973,0.554095256,26599.29,148944.48,42371,161066.97
"19","Czech Republic",0.657652834810048,0.86594076674222,0.635879989993027,0.740457452400765,0.595098436769099,0.965084774066912,251991.6,673808.05,145603,568245.44
"20","Denmark",0.779409560108648,0.810161810012137,0.762071010861106,0.786376150971042,0.688311986564498,0.841640998,6427039.09,5553312.04,4573595,826907.09
"21","Ecuador",0.531837994623883,0.544239621688972,0.550283183252226,0.587510051493717,0.577604312264085,0.526603059,4999257.38,444169.67,6059833,837745.33
"22","El Salvador",0.596580084408621,0.595722274353807,0.594799020985073,0.610809979018775,0.598333603751329,0.597544607,247555.17,158897.16,353115,264435.98
"23","Estonia",0.713496589163564,0.754592374409306,0.701171401017321,0.73272004717611,0.607485609966326,0.783727887,708894.49,370502.15,441796,105628.07
"24","Finland",0.684744761022022,0.760578512835759,0.640519598360313,0.662130691165306,0.534616740369613,0.839956524,360766.37,690021.87,1163103,1132240.51
"25","France",0.609893734190913,0.645051427916025,0.605200755738807,0.636983075246757,0.58960834798408,0.663,2180637.48,11361562.18,3960827,13059443.72
"26","Georgia",0.573934710377015,0.523726337423188,0.60879465387978,0.629888953695462,0.675424426485971,0.464518848,34220.08,164700.12,217476,204396.05
"27","Germany",0.575027142948043,0.646068319263753,0.571790387602098,0.62142243887229,0.582932941424502,0.674888213,6302240.01,11068230.09,1658794,6505748.09
"28","Ghana",0.58156518345847,0.591723389478703,0.570077635948528,0.583096800046682,0.550718206517225,0.608990146,355291.28,2071566.78,2263111,3991386.54
"29","Greece",0.591367026802643,0.623599966328437,0.579095336256947,0.60265251082004,0.537436501759096,0.649557716,851575.37,931130.84,1090639,1162622.47
"30","Honduras",0.54571647607877,0.548249161913532,0.556996653317571,0.583885258644994,0.564878127597809,0.535688634,370941.39,90126.84,401631,126848.12
"31","Hong Kong",0.453851053810642,0.396361279903511,0.459018961127008,0.448524042830135,0.461360189688677,0.37,1711886.76,4010242.23,925748,2956270.14
"32","Hungary",0.70041542960049,0.823858349177033,0.651537703120546,0.693279233878417,0.576692157473289,0.925511584577892,41785.45,237386.84,134452,330262.71
"33","Iceland",0.889274066640179,0.876014342653836,0.84093049304654,0.821348991787697,0.724770847358415,0.929,4594668.06,357005.34,7417109,182391.26
"34","Indonesia",0.458300884992658,0.490974056470573,0.495582104587818,0.556077490588195,0.477184319444901,0.458,7527043.19,1084750.62,65049942,58394488.47
"35","Ireland",0.793923435586115,0.795801417620596,0.764590786089011,0.765234859395756,0.696762124775175,0.831437259,1646423.7,589908.25,1737872,601585.47
"36","Italy",0.588527044205394,0.65104706138207,0.582288650681298,0.62565652567491,0.567853867205031,0.680452163,1039715.53,9331658.12,2040450,10273379.88
"37","Japan",0.625026534190602,0.653793492303735,0.612363583582968,0.634899509161476,0.571673188988651,0.679,4192914.82,21774209.87,24634705,36818181.71
"38","Latvia",0.678242218836414,0.72211920211844,0.671300813569979,0.707586993415242,0.637944972481473,0.745812314,857859.11,513159.83,648972,280007.98
"39","Lithuania",0.727166135031606,0.750808965181602,0.718695628316268,0.745212844754482,0.655344031205306,0.769216068,1002116.64,1027708.21,613982,525037.53
"40","Luxembourg",0.527404137149,0.636566394482753,0.527404137149,0.597069807110524,0.524357610828417,0.674920701113531,10914.63,126557.23,0,115407.63
"41","Macau",0.425283495754509,0.38484847284792,0.425821551219071,0.419077824784104,0.427909013625607,0.37,1055.63,208679.5,9000,216483.88
"42","Malaysia",0.402935644176815,0.408267128730376,0.423180964246574,0.454532463868076,0.459262906618551,0.386,1777811.35,3440368.72,10485991,10606567.36
"43","Mauritius",0.595160165187171,0.676947899323551,0.58775300255355,0.639863272639082,0.62158376949975,0.71451637,1059267.28,1188744.05,92653,179215.86
"44","Mexico",0.560158459696745,0.571876807060529,0.550089675208898,0.564401833443277,0.478806237990734,0.588,1192420.95,2689302.23,10443129,10364029.24
"45","Morocco",0.617848045553193,0.613383544348584,0.609306335992051,0.6186217576608,0.545353038261522,0.622,3457896.69,464935.94,7976259,3850098.5
"46","Netherlands",0.657745920464161,0.670056153997193,0.656308224516738,0.680931319532821,0.657198218136206,0.676095668,8306121.46,8231604.16,2643347,2310570.47
"47","New Zealand",0.76470299482471,0.740460197314548,0.688337537900905,0.636578581592979,0.490859502552443,0.823,2576558.21,317919.72,3234199,678469.22
"48","Nicaragua",0.566515055185105,0.569807829013174,0.560025913237749,0.573313974119079,0.536067077004594,0.578702349,252510.41,71900.04,413341,225939.26
"49","Norway",0.84939308711603,0.809630670972741,0.791241136209868,0.749332293064896,0.702993714437094,0.865,17070998.32,1531592.45,21144421,1591169.51
"50","Panama",0.624791228189494,0.633274028592237,0.603366968424444,0.608692451716299,0.549434997596848,0.661800583,228067.32,241461.85,1013449,337992.95
"51","Peru",0.609217605307801,0.606452769659478,0.602912077820321,0.614644199321358,0.589008070375487,0.613,3713579.52,822653.67,27660049,4416591.33
"52","Philippines",0.39220654310551,0.411577039607376,0.423557723706531,0.470636658995787,0.474811128087826,0.381,2361218.26,2390984.27,17507236,17536825
"53","Poland",0.71584022393362,0.861863348503211,0.696025950685197,0.773246516793212,0.60592176695112,0.936795147,3160041.35,4476894.66,1475742,2564651.37
"54","Portugal",0.626136810131773,0.659981641252407,0.62409262242573,0.657890940567888,0.609972942318104,0.674310541,2047776.23,4416311.73,1189905,3407848.51
