"","Country","FMIc1","FMIc2","FMIc3","FMIc3_flp","FMIi","FMIp","Exports","Imports","Production","FoodSupply"
"45","Macau",0.454307471106792,0.392407006623241,0.454859466511497,0.438410228478674,0.458038747297389,0.37,1055.63,208679.5,9000,216483.88
"46","Malaysia",0.404030375596709,0.40939432620404,0.425230586914579,0.457415488175719,0.463260232500346,0.386,1777811.35,3440368.72,10485991,10606567.36
"47","Malta",0.578344476420867,0.603032282458361,0.578178252924995,0.607569110226193,0.606622772989769,0.61190458,69393.58,266226.63,48861,84772.8
"48","Mauritius",0.592471141661711,0.676077349842155,0.584869725617059,0.637636674927051,0.618449739982853,0.71451637,1059267.28,1188744.05,92653,179215.86
"49","Mexico",0.562668676499121,0.574115235592201,0.554397065901034,0.570127044880052,0.489140818017116,0.588,1192420.95,2689302.23,10443129,10364029.24
"50","Morocco",0.618472081414967,0.613087632254179,0.6094111322318,0.617864905573189,0.551215127159228,0.622,3457896.69,464935.94,7976259,3850098.5
"51","Netherlands",0.663942715250896,0.672916735031812,0.663920995048056,0.688247805640596,0.663460910420206,0.676095668,8306121.46,8231604.16,2643347,2310570.47
"52","New Zealand",0.765220086955549,0.737614983393524,0.685477749381291,0.629301399833437,0.486357065774175,0.823,2576558.21,317919.72,3234199,678469.22
"53","Nicaragua",0.562914547694486,0.568904637529298,0.556462737554706,0.571003888208396,0.523952634583052,0.578702349,252510.41,71900.04,413341,225939.26
"54","Norway",0.84942700824237,0.811849638159468,0.793779843219384,0.755007728369408,0.702206087284876,0.865,17070998.32,1531592.45,21144421,1591169.51
"55","Panama",0.624790779232926,0.632715798156165,0.602734002763546,0.607264670024037,0.547288595492325,0.661800583,228067.32,241461.85,1013449,337992.95
"56","Paraguay",0.484551848671204,0.512803441518905,0.521412316348103,0.580168624444521,0.515721319891321,0.478777558546064,90.5,25354.31,136912,162175.82
"57","Peru",0.605345572541574,0.591283567875335,0.582989550689802,0.575846048604222,0.529611165439803,0.613,3713579.52,822653.67,27660049,4416591.33
"58","Philippines",0.392681063695062,0.420128298266943,0.433583661691903,0.492508147490451,0.478341279965825,0.381,2361218.26,2390984.27,17507236,17536825
"59","Poland",0.719008531243128,0.86287803175104,0.699410633627226,0.77584176433093,0.614849642801428,0.936795147,3160041.35,4476894.66,1475742,2564651.37
"60","Portugal",0.623660805492563,0.659333285906826,0.621611411195345,0.656232647087844,0.607456161382438,0.674310541,2047776.23,4416311.73,1189905,3407848.51
"61","Qatar",0.461965716154133,0.461754421952646,0.462803645830038,0.477246847380421,0.462564260983449,0.460681043,9737.69,271776.03,84749,346216.33
"62","Romania",0.641624352895473,0.803229332328021,0.627478327916871,0.714815139143592,0.604401204277642,0.876877064,39599.27,752952.41,119704,813069.17
"63","Russia",0.799504886863287,0.787451359283508,0.753560537617717,0.733852130475125,0.671580103492021,0.838,12500457.53,6084906.67,28009993,18894297.14
"64","Senegal",0.559106907884102,0.56501320063156,0.566728886497357,0.592677609307645,0.595919831429711,0.558,1105716.93,103492.71,2792881,1790663.35
"65","Serbia",0.583388082131654,0.558363199179951,0.579963179876243,0.582307541727183,0.589608850947986,0.553654498,11253.01,279261.83,60957,328962.85
"66","Singapore",0.47650737175712,0.53191157242569,0.47618671389242,0.517546227690321,0.477906111818745,0.551760263,387915.93,1983146.82,42615,1637845.85
"67","Slovakia",0.654043685737145,0.850460541580915,0.647302371140943,0.758266252501825,0.634132786589701,0.92751015735356,22566.75,289911.63,21354,288566.9
"68","Slovenia",0.566795142029239,0.644818774337491,0.563983488093088,0.617161895181661,0.556621807264886,0.675585076,56835.95,183499.92,11186,137752.01
"69","South Africa",0.733752054821576,0.751954920721807,0.70972515488352,0.720975470307699,0.618936147613659,0.787,982314.33,1445057.19,3448140,2194157.51
"70","South Korea",0.680620640830302,0.675678426058549,0.665476266108905,0.671014435880519,0.654408874868925,0.692,3786073.77,9888740.77,12270547,16835314
"71","Spain",0.62642330304915,0.666032130486817,0.617993813077753,0.649397564514358,0.592781532248263,0.69,7455488.55,12296776.46,7467892,11942065.57
"72","Sri Lanka",0.520784279811862,0.519179620623342,0.501279788808666,0.500086789228163,0.460720529972756,0.541872816,160785.13,1097879.96,3182270,3832010.84
"73","Sweden",0.742207431118942,0.76375289794858,0.740800952805798,0.772538758214638,0.800761689810759,0.773,5575701.13,6408275.83,1259035,1937488.71
"74","Switzerland",0.557030222654036,0.647835322424905,0.555988808762961,0.61663308364851,0.55345653746039,0.680981590291916,5712.2,834225.76,21515,853977.09
"75","Taiwan",0.577113243025037,0.595346717230524,0.571040904931564,0.59235876022884,0.541542605608113,0.608993679,4709101.17,2455984.74,7268804,4529677.55
"76","Thailand",0.400129168766953,0.372895324830964,0.442335663499747,0.475583811586889,0.549701460555472,0.313,12717629.26,10751709.77,15584552,10814901.53
"77","Turkey",0.468258094816744,0.503912529204248,0.539581876182,0.629816098327788,0.700526425506876,0.431393873,1006929.71,602127.09,3674084,2576171.19
"78","Ukraine",0.757725385338763,0.803932534517208,0.74922097728123,0.787756815522858,0.733678426947031,0.830308065,289736.47,2752942.87,925563,3388769.4
"79","United Kingdom",0.68584944353331,0.741842881422939,0.666154785202206,0.698167369793288,0.61851829013185,0.785,5312066.44,7510864.51,5468056,7673099.8
"80","United States",0.707420088145946,0.827275865688366,0.654909959782003,0.692107887241398,0.522872784963261,0.932,12416410.95,30441033.27,32646792,41786185.74
"81","Uruguay",0.566434999929481,0.593539204881656,0.56156729937423,0.587929974901159,0.57047470413285,0.60886651,384517.18,179307.51,374213,165958.63
